id,date,primary_type,latitude,longitude,community_area,lat,lon,cluster,rank,tipo_ponto
27875,2023-11-22T04:29:00.000,HOMICIDE,41.856493805,-87.641825047,31,41.856493805,-87.641825047,4,3,top 3
27874,2023-11-21T01:31:00.000,HOMICIDE,41.85665565,-87.684128681,31,41.85665565,-87.684128681,1,2,top 2
27873,2023-11-19T22:44:00.000,HOMICIDE,41.924506649,-87.72515945,22,41.924506649,-87.72515945,1,2,top 2
27872,2023-11-19T15:00:00.000,HOMICIDE,41.732675718,-87.604726411,44,41.732675718,-87.604726411,2,1,top 1
27871,2023-11-19T15:00:00.000,HOMICIDE,41.732675718,-87.604726411,44,41.732675718,-87.604726411,2,1,top 1
27870,2023-11-18T20:42:00.000,HOMICIDE,41.88281685,-87.766596053,25,41.88281685,-87.766596053,1,2,top 2
27866,2023-11-17T23:07:00.000,HOMICIDE,41.695255972,-87.620769078,49,41.695255972,-87.620769078,2,1,top 1
27865,2023-11-17T13:51:00.000,HOMICIDE,41.876821749,-87.701090778,27,41.876821749,-87.701090778,1,2,top 2
27864,2023-11-17T03:51:00.000,HOMICIDE,41.895182652,-87.654784748,24,41.895182652,-87.654784748,0,NA,ruído
27920,2023-11-16T14:15:00.000,HOMICIDE,41.780420705,-87.675145585,67,41.780420705,-87.675145585,2,1,top 1
27863,2023-11-16T14:08:00.000,HOMICIDE,42.019382771,-87.672661273,1,42.019382771,-87.672661273,3,6,top 6
27862,2023-11-15T23:53:00.000,HOMICIDE,41.888131743,-87.629548167,8,41.888131743,-87.629548167,7,4,top 4
27928,2023-11-14T14:42:00.000,HOMICIDE,41.902064444,-87.770951454,25,41.902064444,-87.770951454,1,2,top 2
27861,2023-11-13T14:26:00.000,HOMICIDE,41.933687528,-87.789446513,19,41.933687528,-87.789446513,0,NA,ruído
27860,2023-11-12T23:59:00.000,HOMICIDE,41.772711564,-87.569952861,43,41.772711564,-87.569952861,2,1,top 1
27859,2023-11-12T23:36:00.000,HOMICIDE,41.877109661,-87.723890582,26,41.877109661,-87.723890582,1,2,top 2
27858,2023-11-12T04:30:00.000,HOMICIDE,41.839949171,-87.711006351,30,41.839949171,-87.711006351,1,2,top 2
27857,2023-11-11T18:49:00.000,HOMICIDE,41.749876545,-87.682838316,70,41.749876545,-87.682838316,2,1,top 1
27856,2023-11-11T15:20:00.000,HOMICIDE,41.657905826,-87.599875727,54,41.657905826,-87.599875727,8,7,top 7
27855,2023-11-11T04:49:00.000,HOMICIDE,41.906760767,-87.722774741,23,41.906760767,-87.722774741,1,2,top 2
27854,2023-11-10T21:26:00.000,HOMICIDE,42.020295765,-87.668243006,1,42.020295765,-87.668243006,3,6,top 6
27853,2023-11-10T20:52:00.000,HOMICIDE,41.741527505,-87.721656705,70,41.741527505,-87.721656705,9,NA,cluster menor
27850,2023-11-10T17:52:00.000,HOMICIDE,41.884363351,-87.714262554,27,41.884363351,-87.714262554,1,2,top 2
27851,2023-11-10T17:22:00.000,HOMICIDE,41.741527505,-87.721656705,70,41.741527505,-87.721656705,9,NA,cluster menor
27852,2023-11-10T17:16:00.000,HOMICIDE,41.741527505,-87.721656705,70,41.741527505,-87.721656705,9,NA,cluster menor
27849,2023-11-10T15:40:00.000,HOMICIDE,41.880421366,-87.751282465,25,41.880421366,-87.751282465,1,2,top 2
27847,2023-11-08T16:21:00.000,HOMICIDE,41.736922044,-87.551419766,46,41.736922044,-87.551419766,2,1,top 1
27848,2023-11-08T11:19:00.000,HOMICIDE,41.878422757,-87.745201408,25,41.878422757,-87.745201408,1,2,top 2
27846,2023-11-07T20:51:00.000,HOMICIDE,41.743997733,-87.603271938,44,41.743997733,-87.603271938,2,1,top 1
27845,2023-11-07T19:56:00.000,HOMICIDE,41.841103444,-87.626852618,35,41.841103444,-87.626852618,5,5,top 5
28098,2023-11-07T14:20:00.000,HOMICIDE,41.821767828,-87.700359595,58,41.821767828,-87.700359595,2,1,top 1
27843,2023-11-06T15:05:00.000,HOMICIDE,41.7984211,-87.687826752,63,41.7984211,-87.687826752,2,1,top 1
27844,2023-11-06T12:23:00.000,HOMICIDE,41.731211706,-87.661715512,73,41.731211706,-87.661715512,0,NA,ruído
28725,2023-11-06T08:58:00.000,HOMICIDE,41.695279885,-87.626418591,49,41.695279885,-87.626418591,2,1,top 1
27842,2023-11-05T01:38:00.000,HOMICIDE,41.758904163,-87.634506167,69,41.758904163,-87.634506167,2,1,top 1
27841,2023-11-05T01:31:00.000,HOMICIDE,41.787508133,-87.61671965,40,41.787508133,-87.61671965,2,1,top 1
27839,2023-11-04T17:07:00.000,HOMICIDE,41.80425807,-87.670933161,61,41.80425807,-87.670933161,2,1,top 1
27838,2023-11-04T07:54:00.000,HOMICIDE,41.882880585,-87.698023476,27,41.882880585,-87.698023476,1,2,top 2
27835,2023-11-04T01:05:00.000,HOMICIDE,41.821712132,-87.703207097,58,41.821712132,-87.703207097,2,1,top 1
27836,2023-11-04T01:02:00.000,HOMICIDE,41.821712132,-87.703207097,58,41.821712132,-87.703207097,2,1,top 1
27837,2023-11-04T01:00:00.000,HOMICIDE,41.821712132,-87.703207097,58,41.821712132,-87.703207097,2,1,top 1
27834,2023-11-02T21:48:00.000,HOMICIDE,41.774229513,-87.596059042,42,41.774229513,-87.596059042,2,1,top 1
27833,2023-11-01T17:17:00.000,HOMICIDE,41.675501227,-87.63581177,53,41.675501227,-87.63581177,2,1,top 1
27832,2023-11-01T01:19:00.000,HOMICIDE,41.743388524,-87.590431862,45,41.743388524,-87.590431862,2,1,top 1
27831,2023-11-01T01:15:00.000,HOMICIDE,41.743388524,-87.590431862,45,41.743388524,-87.590431862,2,1,top 1
27830,2023-10-31T07:28:00.000,HOMICIDE,41.715388482,-87.531656918,52,41.715388482,-87.531656918,10,10,top 10
27828,2023-10-30T23:21:00.000,HOMICIDE,41.763244644,-87.596998533,69,41.763244644,-87.596998533,2,1,top 1
27826,2023-10-30T17:47:00.000,HOMICIDE,41.737032276,-87.577322335,45,41.737032276,-87.577322335,2,1,top 1
27827,2023-10-30T16:40:00.000,HOMICIDE,41.896229142,-87.712678764,23,41.896229142,-87.712678764,1,2,top 2
27825,2023-10-29T19:03:00.000,HOMICIDE,41.882307726,-87.742889004,25,41.882307726,-87.742889004,1,2,top 2
27821,2023-10-28T22:16:00.000,HOMICIDE,41.784944881,-87.609700893,42,41.784944881,-87.609700893,2,1,top 1
27824,2023-10-28T06:10:00.000,HOMICIDE,41.886283298,-87.758956097,25,41.886283298,-87.758956097,1,2,top 2
27823,2023-10-28T05:09:00.000,HOMICIDE,41.882812102,-87.704527707,27,41.882812102,-87.704527707,1,2,top 2
27822,2023-10-28T02:37:00.000,HOMICIDE,41.675523891,-87.641832941,53,41.675523891,-87.641832941,2,1,top 1
13259203,2023-10-27T21:57:00.000,HOMICIDE,41.795831371,-87.684086445,63,41.795831371,-87.684086445,2,1,top 1
27820,2023-10-27T21:42:00.000,HOMICIDE,41.727308981,-87.556716343,48,41.727308981,-87.556716343,2,1,top 1
27819,2023-10-27T18:00:00.000,HOMICIDE,41.894302232,-87.718717316,23,41.894302232,-87.718717316,1,2,top 2
27818,2023-10-25T15:29:00.000,HOMICIDE,41.786873855,-87.655550394,67,41.786873855,-87.655550394,2,1,top 1
27816,2023-10-24T21:51:00.000,HOMICIDE,41.760118313,-87.558113164,43,41.760118313,-87.558113164,2,1,top 1
27815,2023-10-24T07:14:00.000,HOMICIDE,41.772391355,-87.583839542,43,41.772391355,-87.583839542,2,1,top 1
27814,2023-10-23T21:29:00.000,HOMICIDE,41.782301998,-87.663056212,67,41.782301998,-87.663056212,2,1,top 1
27813,2023-10-23T20:37:00.000,HOMICIDE,41.895295043,-87.750714024,25,41.895295043,-87.750714024,1,2,top 2
27811,2023-10-22T22:30:00.000,HOMICIDE,41.793628171,-87.781845703,56,41.793628171,-87.781845703,0,NA,ruído
27810,2023-10-22T19:21:00.000,HOMICIDE,41.771700102,-87.640276722,68,41.771700102,-87.640276722,2,1,top 1
27809,2023-10-22T18:27:00.000,HOMICIDE,41.765198115,-87.644716012,68,41.765198115,-87.644716012,2,1,top 1
27812,2023-10-22T02:25:00.000,HOMICIDE,41.684388324,-87.667902762,75,41.684388324,-87.667902762,0,NA,ruído
