"koi_period","koi_time0bk","koi_duration","koi_depth","koi_model_snr","koi_impact","koi_ror","koi_srho","koi_num_transits","koi_fpflag_nt","koi_fpflag_ss","koi_fpflag_co","koi_fpflag_ec","koi_steff","koi_slogg","koi_srad","koi_smet","binary_class","id","dia","telescopio","id_formulario"
8.98581901,175.68418,2.8606,881.3,51.8,0.008,0.026527,3.50489,145,0,0,0,0,4072,4.696,0.57,-0.18,"CONFIRMED",39,1,1,112
19.17893976,139.74552,5.144,752.8,34.3,0.004,0.024928,1.28042,68,0,0,0,0,5767,4.538,0.881,-0.06,"CONFIRMED",40,1,1,112
8.70420525,357.55941,2.9385,1074.9,74,0.5,0.030316,2.12083,132,0,0,0,0,5074,4.474,0.863,0.16,"CONFIRMED",41,1,1,112
12.10968709,140.21258,6.3461,284.7,33.4,0.924,0.0187,0.03281,110,0,0,0,0,6021,4.093,1.458,-0.34,"CONFIRMED",42,1,1,112
36.4454001,151.60125,4.007,1122.3,21.7,0.028,0.029681,5.21237,27,0,0,0,0,4126,4.661,0.615,0.04,"CONFIRMED",43,1,1,112
14.1959621,137.01221,3.605,196.2,14.1,0.786,0.014102,0.67357,90,0,0,0,0,6214,4.442,1.076,0.07,"CONFIRMED",44,1,1,112
29.66631669,189.36948,8.412,668,95.3,0.019,0.023633,0.45094,46,0,0,0,0,5956,4.322,1.098,-0.28,"CONFIRMED",45,1,1,112
3.770551475,357.11836,3.8077,12440,100.8,0.053,0.102677,0.77649,305,0,0,0,0,6322,4.426,1.075,-0.12,"CONFIRMED",46,1,1,112
76.5369531,164.15644,5.574,652.2,17.7,0.327,0.023329,3.3985,16,0,0,0,0,5596,4.105,1.466,0.14,"CONFIRMED",47,1,1,112
25.3690868,143.68699,4.746,110.1,21.6,0.845,0.0109,0.34303,45,0,0,0,0,6126,4.224,1.406,0.14,"CONFIRMED",48,1,1,112
69.72646639,196.093243,3.7177,4491.2,300.7,0.019,0.061648,13.68843,20,0,0,0,0,6430,4.107,1.731,0.2,"CONFIRMED",49,1,1,112
36.9250409,174.22246,4.9381,902,39.3,0.838,0.031099,0.56084,37,0,0,0,0,5926,4.532,0.887,-0.2,"CONFIRMED",50,1,1,112
8.7396758,136.5829,3.866,1431,15.6,0.957,0.047917,0.10144,33,0,0,0,0,4406,4.643,0.628,-0.24,"CONFIRMED",51,1,1,112
7.07136119,139.98763,2.757,65.7,22.4,0.658,0.007798,1.27319,182,0,0,0,0,4900,4.602,0.741,0.08,"CONFIRMED",52,1,1,112
44.3471936,161.31738,6.43,791.7,40.5,0.273,0.025732,1.36005,33,0,0,0,0,5600,4.455,0.872,-0.36,"CONFIRMED",53,1,1,112
6.02930329,171.602959,1.5821,1912.7,65.4,0.258,0.038838,13.09803,215,0,0,0,0,4537,4.648,0.672,0.21,"CONFIRMED",54,1,1,112
6.010383339,174.084883,2.1939,2652.1,276.1,0.436,0.047131,4.148,225,0,0,0,0,4882,4.558,0.738,-0.12,"CONFIRMED",55,1,1,112
160.0191598,251.28261,5.472,1552.8,49.6,0.852,0.041725,1.77683,8,0,0,0,0,5376,4.462,0.94,0.28,"CONFIRMED",56,1,1,112
