"EMPRESA";"Nome.da.Empresa.";"ano";"Open";"SETOR";"SUBSETOR";"SEGMENTO";"Idade_Segmento_Setor";"ROI_ADJ";"ROI_ADJ_2";"MARGEM.LÍQUIDA.value";"DIVIDEND.YIELD..DY..value";"P.L.value";"VPA.value";"LPA.value";"STATUS_GRAHAM";"DIF_GRAHAM";"PERATVNAOCOR";"Y";"metric_SEGMENTO_MARGEM.LÍQUIDA.value_Q50";"DIVIDEND.YIELD..DY..value_RANKSCORE";"classe_cap_v2";"DÍVIDA.BRUTA...PATRIMÔNIO.value"
"BMKS3";"BICICLETAS MONARK";2023;234.899993896484;"Consumo Cíclico";"Viagens e Lazer";"Bicicletas";74;38.2133508872175;-2.05267582579558;141.73147548067;5.6574547468354;5.4757840185954;447.38647608576;57.708631115998;1;510.951902387059;0.285714285714286;29.9703718093855;141.73147548067;100;"Small Cap";0.0037896475283732
"EZTC3";"EZ TEC";2023;20.6499996185303;"Consumo Cíclico";"Construção Civil";"Incorporações";60;-28.5338998334066;-50.2578726637405;28.95912670454;5.7937294862249;9.140105488867;20.225644338671;1.4693484682817;1;8.20871027719136;0.246753246753247;40.3361972158434;5.1606616521834;11.0781413949916;"Small Cap";0.11802498049622
"BAHI3";"BAHEMA";2023;14.8423871994019;"Consumo Cíclico";"Diversos";"Serviços Educacionais";185;-12.4579115925464;-14.1320643079948;-31.393857595681;0;-3.0600505373946;2.6823963185048;-4.2482958503909;0;-28.9949967320517;0.319480519480519;-36.9676905574516;-6.6282564701121;0;"Small Cap";2.6504873569713
"PSSA3";"PORTO SEGURO";2023;21.4200000762939;"Financeiro";"Previdência e Seguros";"Seguradoras";127;15.6642929135573;-2.1263233628463;4.0934015396191;5.0046393088553;13.189889790139;16.367669603022;1.7551321783832;1;4.70482936925442;0.267532467532468;29.0575164891916;2202.3865722528;45.2523644080312;"Small Cap";0
"RDNI3";"RNI NEGÓCIOS IMOBILIÁRIOS";2023;10.1400003433228;"Consumo Cíclico";"Construção Civil";"Incorporações";60;-31.6212271723867;-12.273246086992;3.2004677030086;0.82975326560232;14.12524644356;14.621721139179;0.48777910017573;1;4.89030635438728;0.272727272727273;-30.1019732277142;5.1606616521834;1.58656423658605;"Small Cap";1.0160471257363
"MSPA4";"EDITORA MELHORAMENTOS";2023;46;"Materiais Básicos";"Madeira e Papel";"Papel e Celulose";98;-10.8695652173913;9.2636619174137;0.75236981563954;0;173.67944378307;128.94633673689;0.23606708489469;0;-18.191211317894;0.192207792207792;-2.2858718902439;18.1911039025665;0;"Small Cap";0.16750535176342
"MERC3";"MERCANTIL DO BRASIL FINANCEIRA";2023;25;"Financeiro";"Intermediários Financeiros";"Soc. Crédito e Financiamento";26;-39.560001373291;2.83834039167417;-11.357981494441;0;-46.573886852644;13.952797799979;-0.32443072762655;0;-31.58457140122;0.212987012987013;1.12508325715825;-11.357981494441;0;"Small Cap";0
"CEEB3";"COELBA";2023;33.5;"Utilidade Pública";"Energia Elétrica";"Energia Elétrica";110;34.6146111645633;-5.089243513375;11.210473601374;16.256397654477;6.6318505740587;22.552797592892;5.9787233679685;1;18.0983040639758;0.363636363636364;13.8598707020519;11.875979117082;70.4383698493755;"Small Cap";2.2248350532905
"LAVV3";"LAVVI";2023;5.25;"Consumo Cíclico";"Construção Civil";"Incorporações";60;2.71735625665261;-30.4257012125091;20.688829303517;10.809843186583;8.2843340880328;5.8721267203153;0.57578556698849;1;3.52642573612259;0.18961038961039;92.1917430517381;5.1606616521834;20.66941018965;"Small Cap";0.038080005735301
"SOMA3";"GRUPO DE MODA SOMA S.A.";2023;12.460000038147;"Consumo Cíclico";"Comércio Varejista";"Tecidos Vestuário e Calçados";93;-19.4508614831261;-4.92905738733271;6.8819742282191;0.89477317554241;23.739926288889;9.4360672078601;0.42712853766298;0;-2.53588923141166;0.412987012987013;-25.1669529674393;6.8819742282191;5.77502633922746;"Small Cap";0.16263167411869
"CEEB6";"COELBA";2023;NA;"Utilidade Pública";"Energia Elétrica";"Energia Elétrica";110;NA;NA;11.210473601374;0;0;22.552797592892;5.9787233679685;NA;NA;NA;NA;11.875979117082;0;"Small Cap";2.2248350532905
"CASH3";"MÉLIUZ S.A.";2023;32.4000015258789;"Tecnologia da Informação";"Programas e Serviços";"Programas e Serviços";39;-63.5802480400816;29.7043028377606;-15.375629898265;0;-18.129043204947;0.90440951387161;-0.065088928668779;0;-18.0440729755163;0.233766233766234;-32.6271213494782;2.1642644703729;0;"Small Cap";0.00016784155756965
"LCAM3";"LOCAMERICA";2023;NA;NA;NA;NA;NA;NA;NA;3.7417846800232;5.1472505175983;200.41466485964;2.369030605504;0.12050016408187;NA;NA;NA;NA;7.3319873888246;12.0190273201419;"Small Cap";1.9979587732529
"OFSA3";"OURO FINO SAÚDE ANIMAL";2023;25.5900001525879;"Saúde";"Medicamentos e Outros Produtos";"Medicamentos e Outros Produtos";103;-1.80858495623599;-31.0379813519092;12.551339139923;2.7796506370736;10.044686134809;13.641233723565;2.4221762306427;1;4.25973001227391;0.283116883116883;8.72401666306315;2.9176567303849;28.6801407336913;"Small Cap";0.56037862245238
"HAGA3";"HAGA S/A";2023;7.32999992370605;"Bens Industriais";"Construção e Engenharia";"Produtos para Construção";89;-48.7031712762643;110.303035075781;19.657218998094;0;7.648354202718;-4.7361296778524;0.46545961466257;0;-11.7160189064277;0.381818181818182;-21.0674160689571;15.623481596242;0;"Small Cap";-0.36824141234918
"SEER3";"SER EDUCACIONAL";2023;10.5600004196167;"Consumo Cíclico";"Diversos";"Serviços Educacionais";185;-57.3879896308598;-29.6909425115284;-13.252105026113;0;-2.5900644157352;9.6140144845659;-1.7258258029583;0;-27.3052771556236;0.215584415584416;75.8389374147467;-6.6282564701121;0;"Small Cap";0.61892510167422
"TGMA3";"TEGMA GESTÃO LOGÍSTICA";2023;15.6400003433228;"Bens Industriais";"Transporte";"Transporte Rodoviário";66;29.7802075108512;-36.7147589028889;11.623479864197;5.7878913312693;8.0296329587827;11.608410658195;2.4135598849263;1;8.47644547599716;0.184415584415584;51.9490855906709;7.42373257285725;3.01719344641555;"Small Cap";0.20269541849335
"HAGA4";"HAGA S/A";2023;2.01999998092651;"Bens Industriais";"Construção e Engenharia";"Produtos para Construção";89;-40.7216524619176;-5.8252373248694;19.657218998094;0;2.4706762171701;-4.7361296778524;0.46545961466257;0;-8.53977889330514;0.27012987012987;2.60869321841143;15.623481596242;0;"Small Cap";-0.36824141234918
